cid,date,time,vmlinux,GZIP-bzImage,GZIP-vmlinux,GZIP,BZIP2-bzImage,BZIP2-vmlinux,BZIP2,LZMA-bzImage,LZMA-vmlinux,LZMA,XZ-bzImage,XZ-vmlinux,XZ,LZO-bzImage,LZO-vmlinux,LZO,LZ4-bzImage,LZ4-vmlinux,LZ4,basic-cid,basic-date,basic-time,basic-vmlinux,basic-GZIP-bzImage,basic-GZIP-vmlinux,basic-GZIP,basic-BZIP2-bzImage,basic-BZIP2-vmlinux,basic-BZIP2,basic-LZMA-bzImage,basic-LZMA-vmlinux,basic-LZMA,basic-XZ-bzImage,basic-XZ-vmlinux,basic-XZ,basic-LZO-bzImage,basic-LZO-vmlinux,basic-LZO,basic-LZ4-bzImage,basic-LZ4-vmlinux,basic-LZ
70410,2018-06-29 15:41:50,275.978,226908992,10052560,12137936,9904088,13624272,15709096,9358055,8123344,10208208,7984575,6292432,8377720,6145976,10978256,13063032,10844628,11690960,13776048,11542824,70411,2018-06-29 15:52:03,280.648,226911392,10056656,12142032,9910207,13624272,15709096,9359165,8127440,10212304,7989258,6296528,8381816,6149700,10986448,13071224,10850098,11695056,13780144,11548341
70413,2018-06-29 16:06:28,210.388,15593640,3908560,5993592,3763176,7926736,10011216,3664789,3224528,5309040,3087533,3085264,5170208,2941016,4256720,6341144,4123511,4518864,6603608,4372326,70414,2018-06-29 16:13:44,208.869,15593640,3908560,5993592,3763184,7926736,10011216,3664718,3224528,5309040,3088302,3085264,5170208,2940840,4256720,6341144,4123509,4518864,6603608,4372324
70416,2018-06-29 16:30:26,203.171,16505208,4177872,6264272,4032728,8196048,10281896,3932764,3432400,5518288,3294902,3256272,5342584,3110448,4595664,6681464,4459445,4923344,7009456,4777687,70417,2018-06-29 16:38:42,229.057,16505208,4177872,6264272,4032715,8196048,10281896,3932690,3432400,5518288,3296062,3252176,5338488,3108596,4595664,6681464,4459443,4923344,7009456,4777685
70419,2018-06-29 17:01:37,466.0,69451736,12981296,15069784,12761005,17118256,19206192,12781751,10421296,12509264,10210357,8483888,10572288,8266572,14668848,16756728,14463137,15946800,18035000,15726286,70420,2018-06-29 17:13:36,463.186,69451736,12981296,15069784,12760996,17118256,19206192,12781741,10429488,12517456,10218627,8483888,10572288,8267420,14668848,16756728,14463136,15946800,18035000,15726286
70422,2018-06-29 17:36:39,454.592,27139120,6387152,8472016,6239439,10319312,12403624,6052199,5207504,7291856,5068215,4892112,6976888,4745656,7022032,9106296,6886802,7476688,9561264,7328265,70423,2018-06-29 17:48:37,454.118,27139048,6387152,8472016,6237265,10319312,12403624,6052899,5207504,7291856,5067862,4892112,6976888,4744884,7022032,9106296,6886178,7476688,9561264,7328085
70425,2018-06-29 18:09:57,254.769,39091656,11298256,13383120,11149436,14661072,16745384,10396122,9090512,11174864,8951630,7837136,9921912,7689844,12334544,14418808,12200399,13149648,15234224,12999993,70426,2018-06-29 18:18:35,251.173,39091656,11298256,13383120,11149436,14661072,16745384,10396166,9094608,11178960,8957982,7833040,9917816,7685140,12334544,14418808,12200397,13149648,15234224,12999993
70428,2018-06-29 18:42:15,454.373,87369232,13755344,15842000,13545836,17765328,19851432,13438432,10953680,13039824,10753171,10392528,12479096,10184240,15483856,17569912,15287517,16708560,18794928,16498327,70429,2018-06-29 18:54:17,450.781,87369232,13755344,15842000,13545834,17765328,19851432,13438430,10953680,13039824,10753365,10392528,12479096,10184348,15483856,17569912,15287516,16708560,18794928,16498327
70431,2018-06-29 19:14:47,491.165,30980520,8863696,10949752,8720787,12541904,14627408,8280473,7159760,9245296,7024259,6721488,8807456,6577908,9699280,11784728,9565342,10301392,12387160,10158350,70432,2018-06-29 19:27:26,496.485,30980520,8863696,10949752,8720506,12541904,14627408,8281363,7155664,9241200,7023546,6721488,8807456,6578164,9699280,11784728,9565192,10301392,12387160,10158162
70434,2018-06-29 19:47:12,280.31,22957232,4104656,6191824,3894785,8274384,10361000,3944189,3359184,5445840,3160162,3219920,5307000,3008900,4620752,6707320,4421051,4977104,7063984,4766128,70435,2018-06-29 19:55:27,285.363,22957232,4104656,6191824,3894787,8274384,10361000,3944073,3359184,5445840,3160186,3215824,5302904,3006796,4620752,6707320,4421050,4977104,7063984,4766124
70437,2018-06-29 20:13:25,325.557,24211672,4489168,6575224,4344296,8531920,10617424,4269601,3661776,5747312,3526408,3440592,5526560,3295264,4964304,7049752,4833373,5312464,7398232,5167517,70438,2018-06-29 20:22:35,326.339,24211672,4489168,6575224,4344294,8531920,10617424,4269517,3661776,5747312,3526556,3440592,5526560,3295708,4964304,7049752,4833375,5312464,7398232,5167517
