Kernel_version,ARCH,nb_options,Sumtotkernel
linux-4.0.1,blackfin,11008,303987
linux-4.0.1,nios2,9867,
linux-4.0.1,parisc,9966,
linux-4.0.1,s390,10036,
linux-4.0.1,arm,11397,
linux-4.0.1,m32r,9951,
linux-4.0.1,mips,10634,
linux-4.0.1,metag,9919,
linux-4.0.1,arc,9909,
linux-4.0.1,avr32,10087,
linux-4.0.1,cris,10212,
linux-4.0.1,microblaze,9899,
linux-4.0.1,hexagon,9843,
linux-4.0.1,tile,9965,
linux-4.0.1,frv,9954,
linux-4.0.1,alpha,9983,
linux-4.0.1,ia64,10183,
linux-4.0.1,sh,10288,
linux-4.0.1,mn10300,10016,
linux-4.0.1,um,9925,
linux-4.0.1,x86,10496,
linux-4.0.1,openrisc,9842,
linux-4.0.1,score,9841,
linux-4.0.1,xtensa,9974,
linux-4.0.1,m68k,10044,
linux-4.0.1,c6x,9842,
linux-4.0.1,arm64,10143,
linux-4.0.1,unicore32,10047,
linux-4.0.1,sparc,10080,
linux-4.0.1,powerpc,10636,
linux-4.1.1,blackfin,11154,308385
linux-4.1.1,nios2,10009,
linux-4.1.1,parisc,10111,
linux-4.1.1,s390,10178,
linux-4.1.1,arm,11541,
linux-4.1.1,m32r,10095,
linux-4.1.1,mips,10801,
linux-4.1.1,metag,10061,
linux-4.1.1,arc,10050,
linux-4.1.1,avr32,10232,
linux-4.1.1,cris,10356,
linux-4.1.1,microblaze,10043,
linux-4.1.1,hexagon,9985,
linux-4.1.1,tile,10110,
linux-4.1.1,frv,10098,
linux-4.1.1,alpha,10128,
linux-4.1.1,ia64,10330,
linux-4.1.1,sh,10434,
linux-4.1.1,mn10300,10160,
linux-4.1.1,um,10065,
linux-4.1.1,x86,10643,
linux-4.1.1,openrisc,9984,
linux-4.1.1,score,9983,
linux-4.1.1,xtensa,10121,
linux-4.1.1,m68k,10189,
linux-4.1.1,c6x,9984,
linux-4.1.1,arm64,10344,
linux-4.1.1,unicore32,10192,
linux-4.1.1,sparc,10226,
linux-4.1.1,powerpc,10778,
linux-4.2.1,blackfin,11368,324985
linux-4.2.1,nios2,10219,
linux-4.2.1,h8300,10189,
linux-4.2.1,parisc,10324,
linux-4.2.1,s390,10392,
linux-4.2.1,arm,11765,
linux-4.2.1,m32r,10308,
linux-4.2.1,mips,11021,
linux-4.2.1,metag,10271,
linux-4.2.1,arc,10272,
linux-4.2.1,avr32,10444,
linux-4.2.1,cris,10565,
linux-4.2.1,microblaze,10256,
linux-4.2.1,hexagon,10195,
linux-4.2.1,tile,10324,
linux-4.2.1,frv,10311,
linux-4.2.1,alpha,10341,
linux-4.2.1,ia64,10546,
linux-4.2.1,sh,10646,
linux-4.2.1,mn10300,10373,
linux-4.2.1,um,10274,
linux-4.2.1,x86,10865,
linux-4.2.1,openrisc,10193,
linux-4.2.1,score,10193,
linux-4.2.1,xtensa,10334,
linux-4.2.1,m68k,10401,
linux-4.2.1,c6x,10194,
linux-4.2.1,arm64,10565,
linux-4.2.1,unicore32,10404,
linux-4.2.1,sparc,10438,
linux-4.2.1,powerpc,10994,
linux-4.3.1,blackfin,11516,329541
linux-4.3.1,nios2,10365,
linux-4.3.1,h8300,10335,
linux-4.3.1,parisc,10470,
linux-4.3.1,s390,10544,
linux-4.3.1,arm,11908,
linux-4.3.1,m32r,10454,
linux-4.3.1,mips,11168,
linux-4.3.1,metag,10418,
linux-4.3.1,arc,10419,
linux-4.3.1,avr32,10589,
linux-4.3.1,cris,10712,
linux-4.3.1,microblaze,10402,
linux-4.3.1,hexagon,10341,
linux-4.3.1,tile,10471,
linux-4.3.1,frv,10458,
linux-4.3.1,alpha,10487,
linux-4.3.1,ia64,10696,
linux-4.3.1,sh,10791,
linux-4.3.1,mn10300,10520,
linux-4.3.1,um,10420,
linux-4.3.1,x86,11018,
linux-4.3.1,openrisc,10339,
linux-4.3.1,score,10339,
linux-4.3.1,xtensa,10481,
linux-4.3.1,m68k,10547,
linux-4.3.1,c6x,10340,
linux-4.3.1,arm64,10723,
linux-4.3.1,unicore32,10549,
linux-4.3.1,sparc,10583,
linux-4.3.1,powerpc,11138,
linux-4.4.1,blackfin,11662,333913
linux-4.4.1,nios2,10502,
linux-4.4.1,h8300,10472,
linux-4.4.1,parisc,10611,
linux-4.4.1,s390,10685,
linux-4.4.1,arm,12045,
linux-4.4.1,m32r,10594,
linux-4.4.1,mips,11331,
linux-4.4.1,metag,10555,
linux-4.4.1,arc,10562,
linux-4.4.1,avr32,10731,
linux-4.4.1,cris,10820,
linux-4.4.1,microblaze,10542,
linux-4.4.1,hexagon,10478,
linux-4.4.1,tile,10613,
linux-4.4.1,frv,10598,
linux-4.4.1,alpha,10627,
linux-4.4.1,ia64,10844,
linux-4.4.1,sh,10933,
linux-4.4.1,mn10300,10659,
linux-4.4.1,um,10557,
linux-4.4.1,x86,11169,
linux-4.4.1,openrisc,10476,
linux-4.4.1,score,10476,
linux-4.4.1,xtensa,10622,
linux-4.4.1,m68k,10687,
linux-4.4.1,c6x,10477,
linux-4.4.1,arm64,10889,
linux-4.4.1,unicore32,10691,
linux-4.4.1,sparc,10725,
linux-4.4.1,powerpc,11280,
linux-4.5.1,blackfin,11858,339956
linux-4.5.1,nios2,10694,
linux-4.5.1,h8300,10664,
linux-4.5.1,parisc,10804,
linux-4.5.1,s390,10877,
linux-4.5.1,arm,12268,
linux-4.5.1,m32r,10788,
linux-4.5.1,mips,11534,
linux-4.5.1,metag,10746,
linux-4.5.1,arc,10754,
linux-4.5.1,avr32,10926,
linux-4.5.1,cris,11013,
linux-4.5.1,microblaze,10735,
linux-4.5.1,hexagon,10670,
linux-4.5.1,tile,10806,
linux-4.5.1,frv,10792,
linux-4.5.1,alpha,10821,
linux-4.5.1,ia64,11041,
linux-4.5.1,sh,11127,
linux-4.5.1,mn10300,10853,
linux-4.5.1,um,10750,
linux-4.5.1,x86,11371,
linux-4.5.1,openrisc,10667,
linux-4.5.1,score,10668,
linux-4.5.1,xtensa,10816,
linux-4.5.1,m68k,10881,
linux-4.5.1,c6x,10669,
linux-4.5.1,arm64,11093,
linux-4.5.1,unicore32,10884,
linux-4.5.1,sparc,10919,
linux-4.5.1,powerpc,11467,
linux-4.6.1,blackfin,12038,345445
linux-4.6.1,nios2,10855,
linux-4.6.1,h8300,10825,
linux-4.6.1,parisc,10983,
linux-4.6.1,s390,11045,
linux-4.6.1,arm,12455,
linux-4.6.1,m32r,10966,
linux-4.6.1,mips,11703,
linux-4.6.1,metag,10907,
linux-4.6.1,arc,10989,
linux-4.6.1,avr32,11118,
linux-4.6.1,cris,11174,
linux-4.6.1,microblaze,10928,
linux-4.6.1,hexagon,10831,
linux-4.6.1,tile,10973,
linux-4.6.1,frv,10984,
linux-4.6.1,alpha,11013,
linux-4.6.1,ia64,11210,
linux-4.6.1,sh,11295,
linux-4.6.1,mn10300,11045,
linux-4.6.1,um,10911,
linux-4.6.1,x86,11542,
linux-4.6.1,openrisc,10828,
linux-4.6.1,score,10829,
linux-4.6.1,xtensa,10995,
linux-4.6.1,m68k,11071,
linux-4.6.1,c6x,10830,
linux-4.6.1,arm64,11277,
linux-4.6.1,unicore32,11076,
linux-4.6.1,sparc,11111,
linux-4.6.1,powerpc,11638,
linux-4.7.1,blackfin,12170,349418
linux-4.7.1,nios2,10978,
linux-4.7.1,h8300,10948,
linux-4.7.1,parisc,11109,
linux-4.7.1,s390,11172,
linux-4.7.1,arm,12596,
linux-4.7.1,m32r,11092,
linux-4.7.1,mips,11849,
linux-4.7.1,metag,11030,
linux-4.7.1,arc,11113,
linux-4.7.1,avr32,11247,
linux-4.7.1,cris,11300,
linux-4.7.1,microblaze,11054,
linux-4.7.1,hexagon,10954,
linux-4.7.1,tile,11100,
linux-4.7.1,frv,11110,
linux-4.7.1,alpha,11139,
linux-4.7.1,ia64,11342,
linux-4.7.1,sh,11424,
linux-4.7.1,mn10300,11171,
